Application,Pointers,Void Pointers,Uninitialized Pointers,Smart Pointers,Mallocs,Frees,Implicit Casts from Malloc,Unsafe Functions,Unsafe Casts,Construct from Implicit Cast,Unions,Ref Class Members,Ref Returns,Ref Const Returns,Ref to Deref,Address of Array,2D Arrays
,26,6,5,0,0,0,0,6,6,256,0,10,28,7,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0
,17,0,5,0,0,0,0,6,0,45,0,2,2,0,0,0,0
,84,12,35,0,0,9,0,10,19,111,1,16,28,2,7,0,0
,13,1,4,0,0,3,0,6,1,12,0,5,4,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,169,62,88,0,0,97,0,14,24,443,0,49,49,0,6,0,0
,59,20,31,0,0,30,0,14,10,161,1,28,34,1,0,0,0
,4,0,4,0,0,1,0,6,0,7,0,5,5,0,0,0,0
,,,,,,,,,,,,,,,,,
redex,28716,159,14031,469,8,1522,0,18863,1752,38928,21,4181,1769,223,496,23,18
,81,0,35,0,0,0,0,2,52,1,0,0,5,0,0,1,0
,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,0,1,0,0,0,0,0,12,0,0,0,0,0,0,1,0
,28,0,20,0,0,0,0,6,13,0,0,0,0,0,0,1,0
,34,0,11,0,0,0,0,0,6,1,0,0,0,0,0,0,0
,12,0,7,1,0,2,0,13,0,34,0,8,2,0,0,0,0
,12,0,7,1,0,2,0,13,0,34,0,8,2,0,0,0,0
,2,0,2,0,0,1,0,20,0,0,0,0,0,0,0,0,0
,2,0,2,0,0,1,0,20,0,0,0,0,0,0,0,0,0
